Id,Label
583,WILLIAM T. GOUNDIE
584,CARMON R. HETFIELD
585,CLEMENT LOCKITT
586,THOMAS H. MESSENGER
587,FREDERICK E. PITKIN
588,GEORGE P. SHELDON
589,PERCIVAL C. SMITH
590,BRYAN H. SMITH
591,EDWARD D. WHITE
592,FELIX E. FLANDREAU
593,CHARLES C. PUTNAM
594,FRANK L. BABBOTT
595,HIRAM V.V. BRAMAN
596,JONATHAN BULKLEY
597,FRANCIS L. EAMES
598,RICHARD L. EDWARDS
599,LYMAN R. GREENE
600,CROWELL HADDEN
601,A. AUGUSTUS HEALY
602,CHARLES A. HOYT
603,JOHN F. JAMES
604,EDWARD H. KIDDER
605,DAVID G. LEGGETT
606,EDWARD H. LITCHFIELD
607,WILLIAM G. LOW
608,FRANK LYMAN
609,EDWARD MERRITT
610,HENRY F. NOYES
611,WILLIS L. OGDEN
612,HENRY E. PIERREPONT
613,WILLIAM V.R. SMITH
614,THEODORE F. MILLER
615,FREDERICK C. COLTON
616,STANLEY W. HUSTED
617,THOMAS T. BARR
618,S.W. BOOCOCK
619,GEORGE W. CHAUNCEY
620,WILLIAM N. DYKMAN
621,JOHN GIBB
622,FRANCIS L. HINE
623,CHARLES W. IDE
624,WILLIAM H. MALE
625,JOHN J. PIERREPONT
626,CHARLES M. PRATT
627,GEORGE G. REYNOLDS
628,CHARLES A. SCHIEREN
629,ALEXANDER M. WHITE
630,WILLIAM AUGUSTUS WHITE
631,C.D. WOOD
632,JOHN DAVIS
633,MOSES MAY
634,JOSEPH CABBLE
635,"C.D. BURROWS, JR."
636,JERE E. BROWN
637,RUFUS L. SCOTT
638,WILLIAM S. WANDEL
639,WILLIAM A. WELLS
640,EDWIN LANGDON
641,WILLIAM M. WOODS
642,CHARLES S. YOUNG
643,LEWIS S. LEE
644,JACOB S. BERNHEIMER
645,L.F. DOMMERICH
646,WOODBURY LANGDON
647,JOHN A. McCALL
648,JOHN P. MUNN
649,HENRY SAMPSON
650,HENRY TUCK
651,WILLIAM A. WHEELOCK
652,HENRY MORGENTHAU
653,HUGH J. GRANT
654,T. STALLKNECHT
655,ERNEST EHRMANN
656,W.J.B. MILLS
657,ANTHONY N. BRADY
658,MICHAEL COLEMAN
659,JOHN D. CRIMMINS
660,HENRY O. HAVEMEYER
661,JAMES H. POST
662,GEORGE SHERMAN
663,E.F. HYDE
664,B.G. MITCHELL
665,GEORGE BERTINE
666,F.L. GRANT
667,J.N. WALLACE
668,F.B. SMIDT
669,CORNELIUS N. BLISS
670,"WILLIAM ALLEN BUTLER, JR."
671,CHARLES LANIER
672,GEORGE MACCOLLOCH MILLER
673,JAMES SPEYER
674,HENRY TALMADGE
675,"EDMUND DWIGHT, JR."
676,WILBUR C. FISK
677,EDWARD J. CROKER
678,JAMES A. DEERING
679,FRANK T. FITZGERALD
680,GRANVILLE W. GARTH
681,GEORGE M. GILLIES
682,"J.A. HODGE, JR."
683,ISAIAH JOSEPHI
684,WILLIAM LUMMIS
685,WALTHER LUTTGEN
686,ANDREW PATTERSON
687,ISIDOR STRAUS
688,ARTHUR B. WESTERVELT
689,HENRY W. CANNON
690,A.B. HEPBURN
691,E.J. STALKER
692,W.O. JONES
693,S.H. MILLER
694,C.C. SLADE
695,H.K. TWITCHELL
696,OLIVER H. PAYNE
697,JAMES J. HILL
698,GRANT B. SCHLEY
699,JOHN I. WATERBURY
700,GEORGE M. HARD
701,H.P. DOREMUS
702,W.H. STRAWN
703,DANIEL J. CARROLL
704,FRANK R. LAWRENCE
705,G.P. MOROSINI
706,ADOLPH RUSCH
707,HENRY SHOEMAKER
708,DANIEL B. SMITH
709,SANFORD H. STEELE
710,JOHN D. VERMEULE
