Id,Label,TYPE, VALUE 
227,GEORGE H. SQUIRE,0,
228,G.E. TARBELL,0,
229,HENRY ROGERS WINTHROP,0,
230,FREDERICK H. POUCH,0,
231,ALONZO B. POUCH,0,
232,WILLIAM H. HASCY,0,
233,EDGAR D. POUCH,0,
234,WILLIAM H. POUCH,0,
235,DUMONT CLARKE,0,
236,E. BURNS,0,
237,F.B. ANDERSON,0,
238,J.S. CARR,0,
239,L.L. CLARKE,0,
240,SAMUEL D. BABCOCK,0,
241,JOHN CLAFFIN,0,
242,W. BAYARD CUTTING,0,
243,WILLIAM P. DIXON,0,
244,HENRY W. MAXWELL,0,
245,J. ROGERS MAXWELL,0,
246,SAMUEL REA,0,
247,HENRY K. SHELDON,0,
248,JOHN T. TERRY,0,
249,L.C. WEIR,0,
250,EDWARD V. LOEW,0,
251,HENRY T. BRONSON,0,
252,MYER HELLMAN,0,
253,WILLIAM IRWIN,0,
254,CLARENCE GOADBY,0,
255,JAMES F. FARGO,0,
256,SAMUEL HALL,0,
257,CHARLES N. LEE,0,
258,MOSES H. MOSES,0,
259,VINCENT PISEK,0,
260,RUSSELL RAYMOND,0,
261,EDWARD ROWELL,0,
262,DAVID H. ROWLAND,0,
263,WILLIAM L. SKIDMORE,0,
264,GRANVILLE B. SMITH,0,
265,JOHN H. TIMMERMAN,0,
266,WARNER VAN NORDEN,0,
267,J.A. VAN WAGENEN,0,
268,GEORGE F. BAKER,0,
269,ALEXANDER H. STEVENS,0,
270,GEORGE W. PANCOAST,0,
271,BARKLEY WYCKOFF,0,
272,JOHN JACOB ASTOR,0,
273,HARRISON E. GAWTRY,0,
274,"ADRIAN ISELIN, JR.",0,
275,ROBERT H. McCURDY,0,
276,CHARLES A. PEABODY,0,
277,DOUGLAS ROBINSON,0,
278,W. EMLEN ROOSEVELT,0,
279,FREDERICK D. TAPPEN,0,
280,L.V.F. RANDOLPH,0,
281,JOHN L. RIKER,0,
282,WILLIAM CARPENDER,0,
283,JOHN ALVIN YOUNG,0,
284,ALFRED H. SWAYNE,0,
285,L.M. JONES,0,
286,"BENJAMIN STRONG, JR.",0,
287,FRANCIS M. BACON,0,
288,D. CRAWFORD CLARK,0,
289,GEORGE W. WLY,0,
290,ANDREW H. GREEN,0,
291,JOHN F. HALSTED,0,
292,CHARLES R. HENDERSON,0,
293,LOUIS J. HILL,0,
294,WILLIAM H. HOLLISTER,0,
295,WILLIAM B. ISHAM,0,
296,W.R.T. JONES,0,
297,MARTIN JOOST,0,
298,LEWIS CASS LEDYARD,0,
299,C.D. LEVERICH,0,
300,GILBERT M. PLYMPTON,0,
301,ANTON A. RAVEN,0,
302,"WILLIAM SCHALL, JR.",0,
303,JOHN W. SIMPSON,0,
304,FRANCIS S. SMITHERS,0,
305,FREDERICK STURGES,0,
306,ALFRED WAGSTAFF,0,
307,MERRITT TRIMBLE,0,
308,JOHN J. TUCKER,0,
309,ROBERT S. HOLT,0,
310,WILLIAM W. SMITH,0,
311,WILLIAM G. WHITE,0,
312,JAMES KNOWLES,0,
313,RICHARD L. PURDY,0,
314,WILLIAM L. ANDREWS,0,
315,WILLIAM W. APPLETON,0,
316,CHARLES T. BARNEY,0,
317,GEORGE S. BOWDOIN,0,
318,CHARLES S. BROWN,0,
319,JOHN CROSBY BROWN,0,
320,W. IRVING CLARK,0,
321,HENRY W. DE FOREST,0,
322,THOMAS DIMOND,0,
323,"JOHN M. DODD, JR.",0,
324,WILLIAM A. HOE,0,
325,ALFRED M. HOYT,0,
326,GEORGE M. MILLER,0,
327,JOHN E. PARSONS,0,
328,WILLIAM J. RIKER,0,
329,CHARLES A. SHERMAN,0,
330,J. EDWARD SIMMONS,0,
331,FREDERIE W. STEVENS,0,
332,WILLIAM TILLINGHAST,0,
333,J. KENNEDY TOD,0,
334,JOHN J. TUCKER,0,
335,WILLIAM H. PERKINS,0,
336,FREDERIC P. OLCOTT,0,
337,WALTER M. BENNET,0,
338,JOHN SAGE,0,
339,GEORGE A. CROCKER,0,
340,DAVID S. EGLESTON,0,
341,GEORGE G. HAVEN,0,
342,JAMES N. JARVIE,0,
343,AUGUSTUS D. JUILLIARD,0,
344,DALLAS B. PRATT,0,
345,JOHN HARSEN RHOADES,0,
346,SAMUEL THORNE,0,
347,JOHN H. SUTPHIN,0,
348,S.R. SMITH,0,
349,WILLIAM D. LLEWLLYN,0,
350,JOHN ADIKES,0,
351,A.C. BEDFORD,0,
352,FREDERICK L. ELDRIDGE,0,
353,WILLIAM W. GILLEN,0,
354,ALRICK H. MAN,0,
355,CORD MAYER,0,
356,GEORGE D. PRATT,0,
357,BERNARD SUYDAM,0,
358,A.C. VAUGHAN,0,
359,A.S. WHITE,0,
360,PHILLIP M. WOOD,0,
361,GEORGE W. YOUNG,0,
362,LORD STRATHCONA,0,
363,G.A. DRUMMOND,0,
364,E.S. CLOUSTON,0,
365,R.B. ANGUS,0,
366,A.F. GAULT,0,
367,EDWARD B. GREENSHIELDS,0,
368,WILLIAM C. McCDONALD,0,
369,A.T. PATERSON,0,
370,R.G. REID,0,
371,JAMES ROSS,0,
372,HERBERT L. GRIGGS,0,
373,CHARLES OLNEY,0,
374,GEORGE P. HALL,0,
375,E.T. HULST,0,
376,GUSTAV AMSINCK,0,
377,DANIEL A. DAVIS,0,
378,ANSON W. HARD,0,
379,CHARLES D. LEVERICH,0,
380,GORDON MACDONALD,0,
381,WILLIAM J. MATHESON,0,
382,JOHN G. McCULLOUGH,0,
383,D.O. MILLS,0,
384,WILLIAM A. READ,0,
385,GEORGE L. RIVES,0,
386,H.C. SWORDS,0,
387,AUGUSTUS PRENTICE,0,
388,OTTO AHLMANN,0,
389,GEORGE A. WOOD,0,
390,RICHARD L. FINCH,0,
391,AUGUSTUS B. PRENTICE,0,
392,STEPHEN BAKER,0,
393,HENRY K. McHARG,0,
394,D.H. PLERSON,0,
395,W.E. TROTTER,0,
396,HUGH D. AUCHINCLOSS,0,
397,M.C.D. BORDEN,0,
398,FREDERICK G. BOURNE,0,
399,JOHN S. KENNEDY,0,
400,R.W. PATERSON,0,
401,SAMUEL SLOAN,0,
402,JOHN SLOANE,0,
403,JAMES TALCOTT,0,
404,THEODORE ROGERS,0,
405,E.C. EVANS,0,
406,BENJAMIN ALTMAN,0,
407,HICKS ARNOLD,0,
408,CHARLES F. CHICHESTER,0,
409,E.D. FAULKNER,0,
410,C.H. HACKETT,0,
411,JOHN S. HUYLER,0,
412,HOBART J. PARK,0,
413,JOSEPH PARK,0,
414,JAMES STILLMAN,0,
415,CHARLES L. TIFFANY,0,
416,ROBERT J. HOGUET,0,
417,R. BLEECKER RATHBONE,0,
418,THOMAS ALEXANDER,0,
419,WILLIAM CLARK,0,
420,JOHN D. BEALS,0,
421,J. ROMAINE BROWN,0,
422,JAMES G. CANNON,0,
423,ANDREW J. CONNICK,0,
424,HERMAN F. EPPLE,0,
425,JOHN H. FLAGER,0,
426,JOHN HALLORAN,0,
427,DANIEL F. MAHONY,0,
428,NEWELL MARTIN,0,
429,SAMUEL McMILLAN,0,
430,JOHN B. McDONALD,0,
431,SOL MOSES,0,
432,JOHN C. RODGERS,0,
433,DAVID STEWART,0,
434,THEODORE F. TONE,0,
435,JOHN WHALEN,0,
436,EUGENE G. BLACKFORD,0,
437,HOWARD M. SMITH,0,
438,HENRY M. HEATH,0,
439,HENRY CARSON,0,
440,JACOB G. DETTMER,0,
441,JULIAN D. FAIRCHILD,0,
442,NELSON J. GATES,0,
443,EDWARD H. HOBBS,0,
444,ARTHUR R. JARRETT,0,
445,WILLIAM H. LYON,0,
446,CLARENCE W. SEAMANS,0,
447,SAMUEL VAN WYCK,0,
448,T.J. WASHBURN,0,
449,JOHN S. FOSTER,0,
450,M.S. PAINE,0,
451,CHARLES ESSIG,0,
452,J. STANLEY FOSTER,0,
453,EDWARD J. DUNPHY,0,
454,CHARLES F. NAETHING,0,
455,W.F. NORTON,0,
456,EUGENE COLEMAN SAVIDGE,0,
457,CLERMONT H. WILCOX,0,
458,JOHN D. HICKS,0,
459,JOHN J. SINCLAIR,0,
460,ROBERT B. WOODWARD,0,
461,WALTER COGGESHALL,0,
462,ISAAC P. MAILLER,0,
463,HENRY A. SCHENCK,0,
464,JOHN W. AITKEN,0,
465,OCTAVIUS D. BALDWIN,0,
466,HENRY C. BERLIN,0,
467,CHARLES E. BIGELOW,0,
468,WILLIAM V. BROKAW,0,
469,JOHN W. COCHRANE,0,
470,CHARLES T. COOK,0,
471,JAMES W. CROMWELL,0,
472,H. BLANCHARD DOMINICK,0,
473,JOEL B. ERHARDT,0,
474,EDWARD D. FAULKNER,0,
475,ROBERT M. GALLAWAY,0,
476,CHARLES GRIFFEN,0,
477,CORCELLUS H. HACKETT,0,
478,GEORGE E. HICKS,0,
479,RICHARD M. HOE,0,
480,GEORGE JEREMIAH,0,
481,THOMAS B. KENT,0,
482,MARK W. MCCLAY,0,
483,GEORGE MCNEIR,0,
484,SETH M. MILLIKEN,0,
485,WILLIAM A. NASH,0,
486,WILLIAM H. PARSONS,0,
487,C. LAWRENCE PERKINS,0,
488,ISAAC S. PLATT,0,
489,GEORGE H. ROBINSON,0,
490,HENRY A. ROGERS,0,
491,DAVID S. TABER,0,
492,CHARLES H. TENNEY,0,
493,EUGENE UNDERHILL,0,
494,FRANCIS T. WHITE,0,
495,WASHINGTON WILSON,0,
496,WILLIAM H.S. WOOD,0,
497,EDWIN GOULD,0,
498,SAMUEL THOMAS,0,
499,WILLIAM H. TAYLOR,0,
500,J.A. HILTON,0,
501,WILLIAM M. LAWS,0,
502,CHARLES P. ARMSTRONG,0,
503,GEORGE R. BIDWELL,0,
504,FRANK BRAINARD,0,
505,A.H. CALEF,0,
506,EDMUND C. CONVERSE,0,
507,WILLIAM NELSON CROMWELL,0,
508,THOMAS T. ECKERT,0,
509,FRANK JAY GOULD,0,
510,MYRON T. HERRICK,0,
511,EDWARD R. LADEW,0,
512,ANDREW LANGDON,0,
513,EDWARD R. THOMAS,0,
514,JOHN P. TRUESDELL,0,
515,JOHN SKELTON WILLIAMS,0,
516,E.F.C. YOUNG,0,
517,FELIX CAMPBELL,0,
518,"WILLIAM B. HURD, JR.",0,
519,CHARLES COOPER,0,
520,JOHN W. EVANS,0,
521,LLEWELLYN A. WRAY,0,
522,CHARLES W. BETTS,0,
523,WALTER S. BREWSTER,0,
524,FREDERICK W. CARRUTHERS,0,
525,WILLIAM J. GILPIN,0,
526,GRANVILLE W. HARMAN,0,
527,HENRY I. HAYDEN,0,
528,LOOMIS L. LANGDON,0,
529,JABEZ M. LYLE,0,
530,JOHN McNAMEE,0,
531,THOMAS MONAHAN,0,
532,ERNST NATHAN,0,
533,JOHN D. SULLIVAN,0,
534,DAVID H. VALENTINE,0,
535,THOMAS J. WASHBURN,0,
536,THOMAS L. WELLS,0,
537,H. BATTERMAN,0,
538,JOHN H. SCHUMANN,0,
539,H.B. SCHARMANN,0,
540,GEORGE F. MOGER,0,
541,LOUIS BOSSERT,0,
542,GEORGE H. FISHER,0,
543,H.S. HOLLINGSWORTH,0,
544,WILLIAM LAMB,0,
545,JOHN McKEE,0,
546,CHARLES MILLER,0,
547,JOHN M. MOSER,0,
548,CHARLES NAEHER,0,
549,JOHN H. SCHEIDT,0,
550,MILLARD F. SMITH,0,
551,FRANCIS A. PALMER,0,
552,PETER CUMMING,0,
553,J. BERRE KING,0,
554,HORACE F. HUTCHINSON,0,
555,FRED BAKER,0,
556,EUGENE BRITTON,0,
557,H. MORTIMER BRUSH,0,
558,WARREN A. CONOVER,0,
559,FRANCIS P. FURNALD,0,
560,JACOB A. GEISSENHAINER,0,
561,EDWARD P. GRIFFIN,0,
562,GEORGE T. HAY,0,
563,JACON D.T. HERSEY,0,
564,HUDSON HOAGLAND,0,
565,RICHARD B. KELLY,0,
