Id,Label,Type,Value,D,WD,Cluster,PageRank,Eccentricity,Closeness Centrality,Betweenness Centrality,Eigen,,,,,,,,,,,
75,FOURTH NATIONAL BANK,1,38711177,12,15,0.378787879,0.002921966,5,0.410958904,0.003248225,0.123533669,,,,,,,,,,,
76,FRANKLIN SAVINGS BANK,1,13735207,4,4,0.5,0.001491683,6,0.32388664,0.000106686,0.013052104,,,,,,,,,,,
77,FRANKLIN TRUST CO.,1,10676531,18,21,0.176470588,0.005086964,6,0.406091371,0.010725696,0.079895057,,,,,,,,,,,
78,GALLATIN NATIONAL BANK,1,18337267,16,26,0.558333333,0.003602253,5,0.406091371,0.007547453,0.208115126,,,,,,,,,,,
79,GANSEVOORT BANK,1,2113500,12,13,0.878787879,0.0032158,6,0.379746835,0.000179401,0.041988285,,,,,,,,,,,
80,GARFIELD NATIONAL BANK,1,10243489,13,14,0.756410256,0.003681547,6,0.381558029,0.002506783,0.043867439,,,,,,,,,,,
82,GERMAN EXCHANGE BANK,1,4058300,0,0,0,0.000618557,0,0,0,0,,,,,,,,,,,
83,GERMAN SAVINGS BANK,1,60366347,22,25,0.272727273,0.004869648,5,0.446096654,0.008264578,0.239038818,,,,,,,,,,,
84,"GERMAN SAVINGS BANK, BROOKLYN",1,7499462,5,8,0.4,0.001973616,5,0.338983051,0.000710363,0.014305634,,,,,,,,,,,
81,GERMAN-AMERICAN BANK,1,4798400,7,9,0.476190476,0.002018138,6,0.369230769,0.000434366,0.048321498,,,,,,,,,,,
85,GERMANIA BANK,1,5772200,3,5,0.666666667,0.001189721,6,0.351390922,1.26299E-05,0.025600166,,,,,,,,,,,
86,GERMANIA SAVINGS BANK,1,5849905,4,13,0.333333333,0.001725121,6,0.311284047,0.000301394,0.005261696,,,,,,,,,,,
87,GREATER NEW YORK SAVINGS BANK,1,686123,6,6,0.4,0.00259072,6,0.327868852,0.003601347,0.008781307,,,,,,,,,,,
88,GREENPOINT SAVINGS BANK,1,4551411,2,4,0,0.001205308,6,0.32,0.000130306,0.014453795,,,,,,,,,,,
89,GREENWICH BANK,1,2391000,7,7,0.428571429,0.002710809,6,0.379146919,0.0098285,0.088613775,,,,,,,,,,,
90,GREENWICH SAVINGS BANK,1,49057101,41,65,0.381707317,0.007553155,5,0.460652591,0.010242651,0.54665013,,,,,,,,,,,
91,GUARANTY TRUST CO. OF NEW YORK,1,37547445,68,132,0.36786655,0.011450079,4,0.51391863,0.018763711,0.936954766,,,,,,,,,,,
92,HAMILTON BANK OF NEW YORK CITY,1,2423400,4,4,0,0.001471428,6,0.353460972,0.000279487,0.024303675,,,,,,,,,,,
93,HAMILTON TRUST CO.,1,7622928,16,21,0.166666667,0.004985978,6,0.390243902,0.010473638,0.034526372,,,,,,,,,,,
94,HANOVER NATIONAL BANK,1,100334286,47,63,0.376503238,0.009486643,5,0.494845361,0.03034982,0.590654875,,,,,,,,,,,
95,HARLEM SAVINGS BANK,1,12359336,1,3,0,0.00087092,7,0.277456647,0,0.001468957,,,,,,,,,,,
96,HIDE AND LEATHER NATIONAL BANK,1,19147153,10,12,0.177777778,0.003186738,6,0.387096774,0.004500918,0.043873912,,,,,,,,,,,
97,HUDSON TRUST CO.,1,19147153,35,49,0.465546218,0.006380449,5,0.46875,0.006200247,0.494013519,,,,,,,,,,,
98,IMPORTERS' AND TRADERS' NATIONAL BANK,1,31007563,7,10,0.238095238,0.002013874,6,0.373250389,0.000994687,0.041794075,,,,,,,,,,,
99,INSTITUTION FOR THE SAVINGS OF MERCHANTS' CLERKS,1,9772434,11,15,0.563636364,0.002480355,5,0.390879479,0.00067003,0.132935756,,,,,,,,,,,
100,INTERNATIONAL BANKING CORPORATION,1,19147153,29,63,0.532019704,0.005353631,5,0.448598131,0.003049066,0.423888704,,,,,,,,,,,
101,IRVING NATIONAL BANK,1,7933098,6,11,0.2,0.002276459,6,0.36036036,0.002471214,0.032128505,,,,,,,,,,,
102,IRVING SAVINGS INSTITUTION,1,18424013,4,9,0.166666667,0.002411243,6,0.326530612,0.007963971,0.014547957,,,,,,,,,,,
103,ITALIAN SAVINGS BANK,1,759575,0,0,0,0.000618557,0,0,0,0,,,,,,,,,,,
104,JAMAICA SAVINGS BANK,1,2807847,1,2,0,0.000867512,7,0.289505428,0,0.002267215,,,,,,,,,,,
105,JEFFERSON BANK,1,2051900,6,6,1,0.001602144,6,0.392156863,0,0.092745788,,,,,,,,,,,
106,KINGS COUNTY BANK,1,19147153,5,5,0.4,0.002012279,6,0.337552743,0.000657667,0.012405171,,,,,,,,,,,
107,KINGS COUNTY SAVINGS INSTITUTION,1,9574378,3,6,0.333333333,0.00161855,6,0.299625468,0.000139992,0.00293597,,,,,,,,,,,
108,KINGS COUNTY TRUST CO.,1,10419974,18,21,0.156862745,0.004793716,6,0.436363636,0.013631585,0.104782743,,,,,,,,,,,
109,KNICKERBOCKER TRUST CO.,1,36891048,22,30,0.246753247,0.005993412,5,0.422535211,0.020836395,0.129688094,,,,,,,,,,,
110,LEATHER MANUFACTURERS' NATIONAL BANK,1,11014093,22,27,0.463203463,0.004473242,5,0.430879713,0.004418945,0.277700919,,,,,,,,,,,
111,LIBERTY NATIONAL BANK,1,9609670,22,29,0.575757576,0.004300386,5,0.431654676,0.003675836,0.310842533,,,,,,,,,,,
112,LINCOLN NATIONAL BANK OF THE CITY OF NEW YORK,1,14787437,33,46,0.642045455,0.006537717,5,0.458891013,0.0162674,0.527043549,,,,,,,,,,,
113,LONG ISLAND CITY SAVINGS BANK,1,2558694,1,1,0,0.000825387,6,0.301886792,0,0.005244571,,,,,,,,,,,
114,LONG ISLAND LOAN AND TRUST CO.,1,9557357,13,24,0.230769231,0.004061992,6,0.4,0.012220247,0.081838694,,,,,,,,,,,
115,MANHATTAN SAVINGS INSTITUTION,1,12690347,8,11,0.428571429,0.001960084,5,0.388349515,0.000236504,0.088455134,,,,,,,,,,,
116,MANHATTAN TRUST CO.,1,17076244,37,56,0.471471471,0.006747103,4,0.46875,0.012426067,0.533000953,,,,,,,,,,,
117,MANUFACTURERS' NATIONAL BANK,1,19147153,8,13,0.178571429,0.003333485,5,0.351390922,0.005510004,0.019930002,,,,,,,,,,,
118,MANUFACTURERS' TRUST CO.,1,8719315,17,19,0.220588235,0.004484647,5,0.430879713,0.011746648,0.140390183,,,,,,,,,,,
119,MARKET AND FULTON NATIONAL BANK,1,10429537,11,11,0.236363636,0.00307094,5,0.41025641,0.004321354,0.077291185,,,,,,,,,,,
120,MECHANICS AND TRADERS' BANK,1,4929400,3,3,1,0.001340443,6,0.316622691,0,0.009003729,,,,,,,,,,,
121,MECHANICS' BANK,1,19147153,13,15,0.371794872,0.003170418,5,0.405405405,0.002976084,0.133413666,,,,,,,,,,,
122,MECHANICS' NATIONAL BANK,1,22260530,23,24,0.517786561,0.004490231,5,0.438756856,0.00491494,0.320760629,,,,,,,,,,,
123,MERCANTILE NATIONAL BANK,1,20839345,15,16,0.323809524,0.003410577,5,0.420315236,0.004342205,0.173328134,,,,,,,,,,,
124,MERCANTILE TRUST CO.,1,19147153,54,111,0.366177498,0.009480853,5,0.486815416,0.0155242,0.713297341,,,,,,,,,,,
125,MERCHANTS' BANK OF BROOKLYN,1,19147153,2,3,1,0.002762409,7,0.230769231,0,0.000283614,,,,,,,,,,,
126,MERCHANTS' EXCHANGE NATIONAL BANK,1,7368385,6,7,0.266666667,0.001840075,5,0.375586854,0.000564168,0.039575983,,,,,,,,,,,
127,MERCHANTS' NATIONAL BANK,1,25357084,13,15,0.564102564,0.002767018,5,0.409556314,0.00038347,0.19246068,,,,,,,,,,,
128,MERCHANTS' TRUST CO.,1,6712875,6,8,0.333333333,0.001721818,5,0.364741641,0.000259831,0.059140303,,,,,,,,,,,
129,METROPOLITAN SAVINGS BANK,1,12401357,2,2,0,0.001050486,5,0.331950207,0.000116936,0.013743912,,,,,,,,,,,
130,METROPOLITAN TRUST CO.,1,17744637,27,32,0.381766382,0.00529411,5,0.43715847,0.008527256,0.368806676,,,,,,,,,,,
131,MORTON TRUST CO.,1,58950479,46,89,0.44057971,0.007905846,5,0.480961924,0.007385665,0.688300334,,,,,,,,,,,
132,MOUNT MORRIS BANK,1,3352600,25,41,0.4,0.005062444,5,0.442804428,0.006058555,0.284386211,,,,,,,,,,,
133,MUTUAL BANK,1,2670500,8,8,0.142857143,0.003267204,5,0.355029586,0.007130339,0.019076411,,,,,,,,,,,
134,MUTUAL TRUST CO. OF WESTCHESTER COUNTY,1,2188219,21,23,0.49047619,0.003926302,5,0.424028269,0.001111236,0.315489183,,,,,,,,,,,
135,NASSAU BANK,1,4047700,0,0,0,0.000618557,0,0,0,0,,,,,,,,,,,
136,NASSAU NATIONAL BANK,1,19147153,13,21,0.487179487,0.003108109,5,0.41958042,0.001452249,0.147924412,,,,,,,,,,,
137,NASSAU TRUST CO.,1,6931431,13,20,0.192307692,0.00424183,5,0.39800995,0.011093287,0.073153644,,,,,,,,,,,
138,NATIONAL BANK OF COMMERCE,1,126814804,51,96,0.374117647,0.009256151,5,0.488798371,0.022864405,0.689492697,,,,,,,,,,,
139,NATIONAL BANK OF NORTH AMERICA,1,26259824,38,50,0.294452347,0.007959088,5,0.47151277,0.021677738,0.306969244,,,,,,,,,,,
