Id,Label,Type,Value,D,WD,Cluster,PageRank,Eccentricity,Closeness Centrality,Betweenness Centrality,Eigen,,,,,,,,,,,
195,UNITED STATES SAVINGS BANK,1,1696848,10,10,0.244444444,0.002763268,6,0.368663594,0.001988903,0.056835285,,,,,,,,,,,
196,UNITED STATES TRUST CO.,1,74862490,71,109,0.355734406,0.012359238,5,0.52173913,0.026407012,0.965484887,,,,,,,,,,,
197,UNIVERSAL TRUST CO.,1,19147153,2,2,1,0.001947841,7,0.239520958,0,0.000235787,,,,,,,,,,,
198,VARICK BANK OF NEW YORK,1,19147153,28,42,0.399470899,0.006015296,5,0.448598131,0.011427446,0.253201831,,,,,,,,,,,
199,WALLABOUT BANK,1,19147153,6,7,0.333333333,0.002038666,6,0.379746835,0.001887964,0.038412607,,,,,,,,,,,
200,WASHINGTON BANK,1,19147153,20,37,0.510526316,0.00429732,5,0.426287744,0.004475847,0.232404267,,,,,,,,,,,
201,WASHINGTON SAVINGS BANK,1,199652,6,10,0.266666667,0.00350512,6,0.314136126,0.015744487,0.005006766,,,,,,,,,,,
202,WASHINGTON TRUST CO.,1,10521774,15,18,0.180952381,0.004253253,5,0.407470289,0.007910935,0.082510796,,,,,,,,,,,
203,WELLS FARGO & CO.'S BANK,1,19147153,2,3,0,0.000988479,6,0.325644505,2.64823E-05,0.014116097,,,,,,,,,,,
204,WEST SIDE BANK,1,4425300,3,6,0,0.001312666,6,0.340425532,0.000196041,0.022024917,,,,,,,,,,,
205,WEST SIDE SAVINGS BANK,1,1340003,0,0,0,0.000618557,0,0,0,0,,,,,,,,,,,
206,WESTCHESTER TRUST CO.,1,1048540,8,8,0.428571429,0.002073203,6,0.392798691,0.000395944,0.070619118,,,,,,,,,,,
207,WESTERN NATIONAL BANK,1,68657039,32,69,0.431451613,0.006261051,5,0.452830189,0.013398066,0.407648203,,,,,,,,,,,
208,WILLIAMSBURGH SAVINGS BANK,1,50959295,7,11,0.333333333,0.002617484,5,0.365853659,0.001745096,0.043599746,,,,,,,,,,,
209,WILLIAMSBURGH TRUST CO.,1,5553467,14,30,0.274725275,0.003561063,5,0.41958042,0.00775205,0.136917052,,,,,,,,,,,
210,YORKVILLE BANK,1,2097800,6,6,0.266666667,0.002126046,6,0.342857143,0.001148403,0.018572506,,,,,,,,,,,
3017,"ATCHISON, TOPEKA AND SANTA FE RAILWAY CO.",2,417549124,22,26,0.493506494,0.004100573,5,0.41958042,0.001380987,0.338293628,,,,,,,,,,,
3026,ATLANTIC COAST LINE,2,124532195,0,0,0,0.000618557,0,0,0,0,,,,,,,,,,,
3032,BALTIMORE AND OHIO RAILROAD CO.,2,364273319,42,67,0.533101045,0.007147414,5,0.459770115,0.003934498,0.661185036,,,,,,,,,,,
3035,CHESAPEAKE AND OHIO RAILWAY CO.,2,189795056,23,33,0.660079051,0.004161898,5,0.421052632,0.0007288,0.37991462,,,,,,,,,,,
2948,CHICAGO AND NORTHWESTERN RAILWAY CO.,2,222426487,41,56,0.591463415,0.006942948,5,0.462427746,0.003029618,0.699936159,,,,,,,,,,,
3039,CHICAGO GREAT WESTERN RAILWAY,2,85241288,4,4,0.5,0.001277828,5,0.356612184,4.07272E-05,0.049142759,,,,,,,,,,,
2959,"CHICAGO, BURLINGTON & QUINCY RAILWAY CO.",2,194456689,45,67,0.542424242,0.00758432,5,0.469667319,0.003330236,0.737982827,,,,,,,,,,,
3048,"CHICAGO, MILWAUKEE AND ST. PAUL RAILWAY CO.",2,323650517,29,31,0.517241379,0.005155134,5,0.445269017,0.001971066,0.438236369,,,,,,,,,,,
2942,"CHICAGO, ROCK ISLAND & PACIFIC RAILWAY CO. R.R.",2,308333723,25,30,0.413333333,0.005165838,5,0.450281426,0.0086458,0.299773512,,,,,,,,,,,
3057,DELAWARE AND HUDSON CO.,2,67260704,40,54,0.502564103,0.006846563,5,0.46875,0.003082378,0.614069986,,,,,,,,,,,
3062,"DELAWARE, LACKAWANNA AND WESTERN RAILROAD CO.",2,20644374,48,86,0.512411348,0.008114569,4,0.478087649,0.005464146,0.756501517,,,,,,,,,,,
3065,DENVER AND RIO GRANDE RAILROAD CO.,2,139183041,17,27,0.816176471,0.003236608,5,0.404721754,0.000236279,0.277928516,,,,,,,,,,,
2936,ERIE R.R. CO.,2,278366083,43,63,0.46179402,0.007545057,5,0.462427746,0.0087975,0.650086323,,,,,,,,,,,
3071,GREAT NORTHERN RAILWAY CO.,2,243070862,10,12,0.8,0.002252314,5,0.384615385,0.000415649,0.154484983,,,,,,,,,,,
3078,ILLINOIS CENTRAL RAILROAD,2,203114008,28,32,0.523809524,0.005082811,5,0.437956204,0.002259762,0.414175014,,,,,,,,,,,
3086,LEHIGH VALLEY RAILROAD CO.,2,86573183,28,37,0.53968254,0.005032042,4,0.433212996,0.002480834,0.414380411,,,,,,,,,,,
3093,LOUISVILLE AND NASHVILLE RAILROAD CO.,2,131857618,18,22,0.62745098,0.003438512,5,0.416666667,0.000372537,0.249216436,,,,,,,,,,,
3111,MISSOURI PACIFIC RAILWAY CO.,2,253726023,25,33,0.333333333,0.00509221,5,0.432432432,0.006002133,0.279019698,,,,,,,,,,,
3100,"MISSOURI, KANSAS AND TEXAS RAILWAY CO.",2,138517094,18,22,0.562091503,0.003737841,5,0.425531915,0.002967541,0.24547544,,,,,,,,,,,
2964,NEW YORK CENTRAL AND HUDSON RIVER R.R.,2,765839702,39,63,0.542510121,0.006631453,5,0.460652591,0.002290821,0.637194316,,,,,,,,,,,
2967,"NEW YORK, NEW HAVEN AND HARTFORD R.R. CO.",2,263049289,33,36,0.496212121,0.005853666,5,0.457142857,0.003090755,0.502657836,,,,,,,,,,,
3115,NORFOLK AND WESTERN RAILWAY,2,144510622,9,19,0.638888889,0.00207663,5,0.372093023,0.000128269,0.110462138,,,,,,,,,,,
3114,NORTHERN PACIFIC RAILWAY CO.,2,292350982,60,97,0.427683616,0.010071373,4,0.494845361,0.012127563,0.881960918,,,,,,,,,,,
3278,NORTHERN SECURITIES COMPANY,2,400000000,54,86,0.464709993,0.009661842,5,0.492813142,0.019904197,0.827448296,,,,,,,,,,,
2980,PENNSYLVANIA R.R. CO.,2,805796556,13,25,0.564102564,0.003051247,5,0.396039604,0.006703526,0.182772072,,,,,,,,,,,
2993,SEABOARD AIRLINE RAILWAY,2,109215401,1,1,0,0.00084446,6,0.297029703,0,0.003992787,,,,,,,,,,,
3005,SOUTHERN PACIFIC CO.,2,595357125,48,82,0.505319149,0.008183409,5,0.48,0.006389124,0.757914706,,,,,,,,,,,
3010,UNION PACIFIC RAILROAD CO.,2,439525394,48,90,0.479609929,0.008192271,5,0.481927711,0.00695061,0.740373066,,,,,,,,,,,
3012,WELLS FARGO & CO.,2,15982741,16,20,0.858333333,0.003282183,5,0.404040404,0.002781395,0.277513305,,,,,,,,,,,
3120,AMERICAN SURETY CO.,3,5523727,83,130,0.268292683,0.015439692,5,0.552995392,0.072882411,1,,,,,,,,,,,
3139,CONTINENTAL INSURANCE CO.,3,15164890,54,73,0.4185884,0.009362019,4,0.501043841,0.014692357,0.784108276,,,,,,,,,,,
3150,EQUITABLE LIFE ASSURANCE SOCIETY,3,358417284,65,166,0.353846154,0.011105896,5,0.504201681,0.015825809,0.86988017,,,,,,,,,,,
3163,FIDELITY AND CASUALTY CO.,3,5268680,40,52,0.367948718,0.007475286,5,0.4743083,0.01217334,0.487337885,,,,,,,,,,,
3166,GERMAN-AMERICAN INSURANCE CO.,3,11562000,19,28,0.426900585,0.003926977,6,0.416666667,0.001726753,0.219325353,,,,,,,,,,,
3173,HOME INSURANCE COMPANY,3,14432216,32,37,0.256048387,0.006967373,5,0.46875,0.018010245,0.322083715,,,,,,,,,,,
3176,METROPOLITAN LIFE INSURANCE CO.,3,89168790,15,19,0.266666667,0.004006499,5,0.413080895,0.007648471,0.115575754,,,,,,,,,,,
3183,MUTUAL LIFE INSURANCE CO.,3,382432681,60,123,0.399435028,0.010138499,4,0.498960499,0.012424674,0.86059755,,,,,,,,,,,
3194,NEW YORK LIFE INSURANCE,3,322840900,48,76,0.463652482,0.008423441,5,0.487804878,0.009335755,0.709801077,,,,,,,,,,,
3205,NORTHWESTERN MUTUAL LIFE INSURANCE CO.,3,165141238,2,2,1,0.000999701,6,0.368663594,0,0.030101291,,,,,,,,,,,
3240,PENN MUTUAL LIFE INSURANCE,3,54391103,12,12,0.5,0.002795852,5,0.392156863,0.001858386,0.093148061,,,,,,,,,,,
3265,PRUDENTIAL INSURANCE COMPANY,3,60245339,1,1,0,0.000884292,7,0.286054827,0,0.002257536,,,,,,,,,,,
