ID,Label,Type
3115,NORFOLK AND WESTERN RAILWAY,2
3120,AMERICAN SURETY CO.,3
3139,CONTINENTAL INSURANCE CO.,3
3150,EQUITABLE LIFE ASSURANCE SOCIETY,3
3163,FIDELITY AND CASUALTY CO.,3
3166,GERMAN-AMERICAN INSURANCE CO.,3
3173,HOME INSURANCE COMPANY,3
3176,METROPOLITAN LIFE INSURANCE CO.,3
3183,MUTUAL LIFE INSURANCE CO.,3
3194,NEW YORK LIFE INSURANCE,3
3205,NORTHWESTERN MUTUAL LIFE INSURANCE CO.,3
3240,PENN MUTUAL LIFE INSURANCE,3
3265,PRUDENTIAL INSURANCE COMPANY,3
