Id,Label,Director
306,ALFRED WAGSTAFF,1
307,MERRITT TRIMBLE,1
308,JOHN. J. TUCKER,1
309,ROBERT S. HOLT,1
310,WILLIAM W. SMITH,1
311,WILLIAM G. WHITE,1
312,JAMES KNOWLES,1
313,RICHARD L. PURDY,1
314,WILLIAM L. ANDREWS,1
315,WILLIAM W. APPLETON,1
316,CHARLES T. BARNEY,1
317,GEORGE S. BOWDOIN,1
318,CHARLES S. BROWN,1
319,JOHN CROSBY BROWN,1
320,W. IRVING CLARK,1
321,HENRY W. DE FOREST,1
322,THOMAS DIMOND,1
323,"JOHN M. DODD, JR.",1
324,WILLIAM A. HOE,1
325,ALFRED M. HOYT,1
326,GEORGE M. MILLER,1
327,JOHN E. PARSONS,1
328,WILLIAM J. RIKER,1
329,CHARLES A. SHERMAN,1
330,J. EDWARD SIMMONS,1
331,FREDERIE W. STEVENS,1
332,WILLIAM TILLINGHAST,1
333,J. KENNEDY TOD,1
334,JOHN J. TUCKER,1
335,WILLIAM H. PERKINS,1
336,FREDERIC P. OLCOTT,1
337,WALTER M. BENNET,1
338,JOHN SAGE,1
339,GEORGE A. CROCKER,1
340,DAVID S. EGLESTON,1
341,GEORGE G. HAVEN,1
342,JAMES N. JARVIE,1
343,AUGUSTUS D. JUILLIARD,1
344,DALLAS B. PRATT,1
345,JOHN HARSEN RHOADES,1
346,SAMUEL THORNE,1
347,JOHN H. SUTPHIN,1
348,S.R. SMITH,1
349,WILLIAM D. LLEWLLYN,1
350,JOHN ADIKES,1
351,A.C. BEDFORD,1
352,FREDERICK L. ELDRIDGE,1
353,WILLIAM W. GILLEN,1
354,ALRICK H. MAN,1
355,CORD MAYER,1
356,GEORGE D. PRATT,1
357,BERNARD SUYDAM,1
358,A.C. VAUGHAN,1
359,A.S. WHITE,1
360,PHILLIP M. WOOD,1
361,GEORGE W. YOUNG,1
362,LORD STRATHCONA,1
363,G.A. DRUMMOND,1
364,E.S. CLOUSTON,1
365,R.B. ANGUS,1
366,A.F. GAULT,1
367,EDWARD B. GREENSHIELDS,1
368,WILLIAM C. McCDONALD,1
369,A.T. PATERSON,1
370,R.G. REID,1
371,JAMES ROSS,1
372,HERBERT L. GRIGGS,1
373,CHARLES OLNEY,1
374,GEORGE P. HALL,1
375,E.T. HULST,1
376,GUSTAV AMSINCK,1
377,DANIEL A. DAVIS,1
378,ANSON W. HARD,1
379,CHARLES D. LEVERICH,1
380,GORDON MACDONALD,1
381,WILLIAM J. MATHESON,1
382,JOHN G. McCULLOUGH,1
383,D.O. MILLS,1
384,WILLIAM A. READ,1
385,GEORGE L. RIVES,1
386,H.C. SWORDS,1
387,AUGUSTUS PRENTICE,1
388,OTTO AHLMANN,1
389,GEORGE A. WOOD,1
390,RICHARD L. FINCH,1
391,AUGUSTUS B. PRENTICE,1
392,STEPHEN BAKER,1
393,HENRY K. McHARG,1
394,D.H. PLERSON,1
395,W.E. TROTTER,1
396,HUGH D. AUCHINCLOSS,1
397,M.C.D. BORDEN,1
398,FREDERICK G. BOURNE,1
399,JOHN S. KENNEDY,1
400,R.W. PATERSON,1
401,SAMUEL SLOAN,1
402,JOHN SLOANE,1
